,address,largest_clique,clustering_coefficient,in_degree
0,111128nGjkobYTa5dtSMy3MEhJmyLgXMqjLb2dQKZNYXTG3qSW6,5,1.0,4
1,11112VTCMcksf1Mob3y2tnzdoYKiyCT4FXvGWQsTnifvuVAAu6Z,7,0.2916666666666667,48
2,11112a3RJW9xqWejdhGgmeg8d64u31v3keP7mRZ2hahxHfAySgj,5,0.36363636363636365,11
3,11114BBnvSd4Szo8UWPe2eJh2biAL2JCLpqvvtu2RdQaLshXttz,7,0.4533333333333333,25
4,11116eNVh3vB2T2Me8yZDnTiL1gDuvp3xRsJkxgcjSTk5ZhTB9t,3,0.054945054945054944,14
5,1111Nxuhy6Uaum9MNiQ2pNAhs21sU4nSbAHjgAE1dxqe28B98r,4,0.09259259259259259,28
6,11123Fx1syW2UaduZ4AKnFiLsvWCdyPjZX86gQ2vDtp8VmkCJgV,6,0.24086021505376345,31
7,11123eaTwNavdBpRBz1FEAhfvZVufKwyYWKbyhepdAZaG4xhDeK,3,0.051470588235294115,17
8,11123yUhZaBegreqr1q8s5LkgVQXG68CMorvnNTVLkbBJHHZDNj,4,1.0,3
9,111243bRuBPVoBPd4hoqF3JzzvgRotB1bX5vykMvJCAyw1EXpoM,3,1.0,2
10,11124WyzRXuJCYLubwpagNck31NRr7qgPRQ6V5azXkc16uRG6Px,4,0.11904761904761904,21
11,11125Ai9kBqVPDfjdgyvmXE4rJHXNXgodziNbW17nh87gPjmGqs,7,0.6111111111111112,9
12,11125wz7zCQU32MsrMVAPt8WENbgaxzaHZdXf72JnhxvpRur1Sd,6,0.14878048780487804,41
13,11126i9CXKmwnnrTwEi61EXrQSvYeMvM2aFXk7FrTGJyotY3M1q,7,0.42857142857142855,14
14,11126wzJryzJieSTgNfh3WAURxYGjMcvkooa8PqHuYgM3BnwsPa,29,0.9428571428571428,36
15,11127oaWvjF4MJyqEg2oYHTkta77r7DagZw4WMTByve7yoDfXfB,6,0.6363636363636364,12
16,11128N21xvrxN57XeSMq8HxwM15Tj91FRkuA59sBWzHYSdmP5BN,8,0.6190476190476191,15
17,11128jg7HWEigUSE7qqSV6ifE5Xkqd3UjhM7Wm6E4GsBg4w51dF,2,0.0,1
18,11129X4itBm4MF6iykKvr8iZGX8bqo7iUzGTZsR8B9wuprbJz8f,4,0.5,5
19,1112BQuXboX2hEwMixbsPEFuFMXQc99prYUUNTxULkWBCC5wXgn,7,0.4789473684210526,20
20,1112C1wiK9JDiEiuw79S6skHgtSDiYcvkRSWqfmJj1ncuDUgoLc,4,0.27472527472527475,14
21,1112C291a7AAofw32j3JDyZj3vi5GPFE1tV5w6LwzwJK7kxSd3k,8,0.7252747252747253,14
22,1112CKSyZaP3dvvbF9CEpjXG3nANTak5LNk9j3DJFpxorG9xrhp,8,1.0,7
23,1112Fn5sqvxVSg2SBAVF12eBQP1CSzNsTdmMfpa3tA9NyU7pLAA,5,0.9,5
24,1112GTzaJ5qStbbdGEfcBw8uaKDrCgQBYDsKDCWhNW9PkAbf2T7,13,0.9523809523809523,15
25,1112GoNAFJZ3vB9DwcEMF1rQitPYFKhmgmLEqdh4hKnzdeqbNLm,5,0.23076923076923078,13
26,1112HLuHVDJaJCBraTrECc6pQoQohmYe5oGt2KWGzhr9TksNQmy,8,0.4413793103448276,30
27,1112HgudDUPgniZ81FGJv9KeJRGgK9VP7FAWXgiMkFzxQ3JDdFX,8,0.2991596638655462,35
28,1112Jn8UhxXd3SvqCATkni5YcRhQfnKdCsPMtEKhwLkd1s4NC5N,2,0.0,2
29,1112KXaDKVb5qgzt68jYzsvxCL94B6kKwhXdrqAdsvo3QzjTP7W,4,0.21052631578947367,20
30,1112NiqANgRcZFChzK8TmbsLaFiphmgVsqam7GhQqb3BQe3i69L,19,0.9528985507246377,24
31,1112NpShfxsUPFWe1tUMrwTx1ERcqAKtNYa2hwpWsu1AndLFfZd,5,0.0603921568627451,51
32,1112PiCE6nhUDgNbJTmk7R9f5xbuhD4HcLkf2SSrQzEkwbu8TVP,3,0.6666666666666666,3
33,1112Q8ghEVr5HLEgb4jHQNenzdCP6AnP7rfBnUQtKk5KxmtDS8p,4,0.2,20
