,address,name
0,14fzfjFcHpDR1rTH8BNPvSi5dKBbgxaDnmsVPbCjuq9ENjpZbxh,Helium Inc (old)
1,14iLrXUuGVhb7w1P8X3iBvRwoT9oemgbDonm5VVZJk56TdV8NV1,Browan/MerryIoT
2,13H6RpJojJjkqPRfzdrFBDbpYw4b3A6HyMxgGFRgXf31Nuwq4xJ,Milesight
3,13GY3FdbfNpXoBkyRukFj2fx9851oqX2SUTKY8Gd4BDJsZsuYhd,Atom
4,13daGGWvDQyTyHFDCPz8zDSVTWgPNNfJ4oh31Teec4TRWfjMx53,Helium Inc
5,13ENbEQPAvytjLnqavnbSAzurhGoCSNkGECMx7eHHDAfEaDirdY,Cal-Chip Connected Devices
6,138LbePH4r7hWPuTnK6HXVJ8ATM2QU71iVHzLTup1UbnPDvbxmr,Maker Integration Tests
7,13Zni1he7KY9pUmkXMhEhTwfUpL9AcEV1m2UbbvFsrU9QPTMgE3,Nebra Ltd
8,14rb2UcfS9U89QmKswpZpjRCUVCVu1haSyqyGY486EvsYtvdJmR,SyncroB.it
9,14sKWeeYWQWrBSnLGq79uRQqZyw3Ldi7oBdxbF6a54QboTNBXDL,Bobcat
10,12zX4jgDGMbJgRwmCfRNGXBuphkQRqkUTcLzYHTQvd4Qgu8kiL4,LongAP
11,13MS2kZHU4h6wp3tExgoHdDFjBsb9HB9JBvcbK9XmfNyJ7jqzVv,Smart Mimic
12,14h2zf1gEr9NmvDb2U53qucLN2jLrKU1ECBoxGnSnQ6tiT6V2kM,RAKwireless
13,13Mpg5hCNjSxHJvWjaanwJPBuTXu1d4g5pGvGBkqQe3F8mAwXhK,Kerlink
14,13LVwCqZEKLTVnf3sjGPY1NMkTE7fWtUVjmDfeuscMFgeK3f9pn,DeWi Foundation
15,14NBXJE5kAAZTMigY4dcjXSMG4CSqjYwvteQWwQsYhsu2TKN6AF,SenseCAP
16,134C7Hn3vhfBLQZex4PVwtxQ2uPJH97h9YD2bhzy1W2XhMJyY6d,Pisces Miner
17,13XuP2DjHEHVkKguDDZD2ev5AeqMLuJ8UQ44efEcDmVTnBcvc6F,ClodPi
18,14eUfY1GsjK4WH6uZYoeagnFtigBKdvPruAXLmc5UsUMEDj3yib,Linxdot
19,13cbbZXzqwp6YMM5JvAu5T1TRhenENEJVU5Q8vpLhunQYE1Acpp,COTX Networks
20,14go8hvEDnotWTyhYv6Hu5PTnRUAQzJqbB6dsDm1oThkCcZe9zd,Controllino
21,14iC6N1HkqUjH7WEChHVQhPqJ1hbWBKpZXZVeHHykCA7tNDYF2C,Heltec Automation
22,13y2EqUUzyQhQGtDSoXktz8m5jHNSiwAKLTYnHNxZq2uH5GGGym,FreedomFi
23,13v9iGhjvQUtVaZXcFFRCEbL1nPR4R8QJowBgMUcaGM2v1aV6mn,PantherX
24,14DdSjvEkBQ46xQ24LAtHwQkAeoUUZHfGCosgJe33nRQ6rZwPG3,hummingbird
25,143QF5dTGyAg1FqaE85mPApvjauFU8fUy6wavirQfJJDgSkC4gn,RisingHF
26,146S5XCtvB1VwqYzJnRr8goiADUFTscGAUb2ihKUBVYuvMrrNCx,Deeper
27,13eZdVcXajB3HrxKqeoPRPVPXbpqbDbaFpey5KfALk44VUphC5Z,Midas
28,13gb8SJg8MZSyLakrx8ago146Gxk7tpvY4R3kgMSYGzAKE188m2,Dragino
29,14ZVsWQ8D98NCW673qxNepcYu1nfBiuuF6rhU2JHCFpfgqtnc5S,Pycom
30,136SdnfVaGvQn5uTrTMtcKBXeQueqP8vJUdQQR1nier1fhNK9Ny,EDA-IoT
31,14HQjuyvr8jj4ECp2jq9Y5riXZBhzekZRD7g28pvrYngXRzX368,Dusun
32,14KKDX2N56h1xQEQVg6Um4myYUoG7Xes3P5scfwn9B5y5cY8e4t,Aitek Inc
33,14cJRHZan9fmUH4XpA8XD5YkqsEbWm2pqm524ewFMoRa8gzw3XB,embit
